#Background,#Icon,#NumberText,#CardText
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,25 shitty jokes about House of Cards.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,A childless marriage.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,A homoerotic subplot.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,A much younger woman.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,An older man.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,An origami swan that's some kind of symbol?
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,Carbon monoxide poisoning.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,Discharging a firearm in a residential area.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,Forcing a handjob on a dying man.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,Getting eaten out while on the phone with Dad.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,Making it look like a suicide.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,My constituents.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,Punching a congressman in the face.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,Ribs so good they transcend race and class.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,Strangling a dog to make a point to the audience.
background/front-white-houseofcards.png,icon/icon-houseofcards.png,,The sensitive European photographer who's fucking my wife.
background/front-black-houseofcards.png,icon/icon-houseofcards.png,,A wise man said, "Everything is about sex. Except sex. Sex is about _________."
background/front-black-pick2-houseofcards.png,icon/icon-houseofcards.png,,Because you enjoyed _________, we thought you'd like _________.
background/front-black-houseofcards.png,icon/icon-houseofcards.png,,Cancel all my meetings. We've got a situation with _________ that requires my immediate attention.
background/front-black-pick2-houseofcards.png,icon/icon-houseofcards.png,,Corruption. Betrayal. _________. Coming soon to Netflix,\n"House of _________."
background/front-black-houseofcards.png,icon/icon-houseofcards.png,,I can't believe Netflix is using _________ to promote House of Cards.
background/front-black-houseofcards.png,icon/icon-houseofcards.png,,I'm not going to lie. I despise _________. There, I said it.
background/front-black-houseofcards.png,icon/icon-houseofcards.png,,If you need him to, Remy Danton can pull some strings and get you _________, but it'll cost you.
background/front-black-houseofcards.png,icon/icon-houseofcards.png,,Our relationship is strictly professional. Let's not complicate things with _________.
background/front-black-houseofcards.png,icon/icon-houseofcards.png,,We're not like other news organizations. Here at Slugline, we welcome _________ in the office.
