#Background,#Icon,#NumberText,#CardText
background/front-white.png,icon/icon-PAX.png,1 / 10,A neck beard that is 10% cheese.
background/front-white.png,icon/icon-PAX.png,2 / 10,Pelvic sorcery.
background/front-white.png,icon/icon-PAX.png,3 / 10,Pooping as quietly as possible.
background/front-white.png,icon/icon-PAX.png,4 / 10,The beautiful sport of Turkish oil wrestling.
background/front-white.png,icon/icon-PAX.png,5 / 10,No survivors.
background/front-white.png,icon/icon-PAX.png,,Go Fuck Yourself.
background/front-black-pick2.png,icon/icon-PAX.png,6 / 10,Buzzfeed presents: 10 pictures of _____ that look like _____.
background/front-black.png,icon/icon-PAX.png,7 / 10,During my first game of D&D, I accidentally summoned _____.
background/front-black.png,icon/icon-PAX.png,8 / 10,Bob Ross's little-known first show was called "The Joy of _____."
background/front-black.png,icon/icon-PAX.png,9 / 10,Like _____, State Farm is there.
background/front-black.png,icon/icon-PAX.png,10 / 10,The Discovery Channel presents: _____ week.
