#Background,#Icon,#NumberText,#CardText
background/front-white-paxeast2013A.png,,,An immediately regrettable $9 hot dog from the Boston Convention Center.
background/front-white-paxeast2013A.png,,,Casting magic missile at a bully.
background/front-white-paxeast2013A.png,,,Firefly: Season 2.
background/front-white-paxeast2013A.png,,,Getting bitch slapped by Dhalsim.
background/front-white-paxeast2013A.png,,,Jiggle physics.
background/front-white-paxeast2013A.png,,,Paying the iron price.
background/front-white-paxeast2013A.png,,,Rotating shapes in mid-air so that they fit into other shapes when they fall.
background/front-white-paxeast2013A.png,,,Running out of stamina.
background/front-black-paxeast2013A.png,,,I have an idea even better than Kickstarter, and it's called ______starter.
background/front-black-paxeast2013A.png,,,You have been waylaid by ______ and must defend yourself.
background/front-white-paxeast2013B.png,,,Getting inside the Horadric Cube with a hot babe and pressing the transmute button.
background/front-white-paxeast2013B.png,,,Loading from a previous save.
background/front-white-paxeast2013B.png,,,Punching a tree to gather wood.
background/front-white-paxeast2013B.png,,,Sharpening a foam broadsword on a foam whetstone.
background/front-white-paxeast2013B.png,,,Spending the year's insulin budget on Warhammer 40k figurines.
background/front-white-paxeast2013B.png,,,The depression that ensues after catching 'em all.
background/front-white-paxeast2013B.png,,,The rocket launcher.
background/front-white-paxeast2013B.png,,,Violating the First Law of Robotics.
background/front-black-paxeast2013B.png,,,Action stations! Action stations! Set condition one throughout the fleet and brace for ______!
background/front-black-paxeast2013B.png,,,In the final round of this year's Omegathon, Omeganauts must face off in a game of ______.
background/front-white-paxeast2013C.png,,,Achieving 500 actions per minute.
background/front-white-paxeast2013C.png,,,Charging up all the way.
background/front-white-paxeast2013C.png,,,Forgetting to eat, and consequently dying.
background/front-white-paxeast2013C.png,,,Judging elves by the color of their skin and not by the content of their character.
background/front-white-paxeast2013C.png,,,Smashing all the pottery in a Pottery Barn in search of rupees.
background/front-white-paxeast2013C.png,,,The Klobb.
background/front-white-paxeast2013C.png,,,Vespene gas.
background/front-white-paxeast2013C.png,,,Wil Wheaton crashing an actual spaceship.
background/front-black-paxeast2013C.png,,,I don't know exactly how I got the PAX plague, but I suspect it had something to do with ______.
#,#,#,# Special black card with arrows (in pax east 2013 C) available in sample/
background/front-white.png,icon/icon-PAX.png,1 / 44,Full HD.
background/front-white.png,icon/icon-PAX.png,2 / 44,The gravity gun.
background/front-white.png,icon/icon-PAX.png,3 / 44,Reading the comments.
background/front-white.png,icon/icon-PAX.png,4 / 44,70,000 gamers sweating and farting inside an airtight steel dome.
background/front-white.png,icon/icon-PAX.png,5 / 44,Allowing nacho cheese to curdle in your beard while you creep in League of Legends.
background/front-white.png,icon/icon-PAX.png,6 / 44,Achieving the manual dexterity and tactical brilliance of a 12-year-old Korean boy.
background/front-white.png,icon/icon-PAX.png,7 / 44,Rolling a D20 to save a failing marriage.
background/front-white.png,icon/icon-PAX.png,8 / 44,The collective wail of every Magic player suddenly realizing that they've spent hundreds of dollars on pieces of cardboard.
background/front-white.png,icon/icon-PAX.png,9 / 44,Being an attractive elf trapped in an unattractive human's body.
background/front-white.png,icon/icon-PAX.png,10 / 44,Temporary invincibility.
background/front-white.png,icon/icon-PAX.png,11 / 44,The Sarlacc.
background/front-white.png,icon/icon-PAX.png,12 / 44,Filling every pouch of a UtiliKilt™ with pizza.
background/front-white.png,icon/icon-PAX.png,13 / 44,Bowser's aching heart.
background/front-white.png,icon/icon-PAX.png,14 / 44,Mario Kart rage.
background/front-white.png,icon/icon-PAX.png,15 / 44,Nude-modding Super Mario World.
background/front-white.png,icon/icon-PAX.png,16 / 44,An angry stone head that stomps on the floor every three seconds.
background/front-white.png,icon/icon-PAX.png,17 / 44,Yoshi's huge egg-laying cloaca.
background/front-white.png,icon/icon-PAX.png,18 / 44,The Cock Ring of Alacrity.
background/front-white.png,icon/icon-PAX.png,19 / 44,Offering sexual favors for an ore and a sheep.
