#Background,#Icon,#NumberText,#CardText
background/reject/front-white-face15.png,icon/icon-reject.png,,A giant squid in a wedding gown.
background/reject/front-white-face16.png,icon/icon-reject.png,,A heart that is two sizes too small and that therefore cannot pump an adequate amount of blood.
background/reject/front-white-face3.png,icon/icon-reject.png,,A sexy naked interactive theater thing.
background/reject/front-white-face6.png,icon/icon-reject.png,,Asshole pomegranates that are hard to eat.
background/reject/front-white-face6.png,icon/icon-reject.png,,Becoming so rich that you shed your body and turn to vapor.
background/reject/front-white-face11.png,icon/icon-reject.png,,Carribbean Jesus.
background/reject/front-white-face5.png,icon/icon-reject.png,,Corn.
background/reject/front-white-face15.png,icon/icon-reject.png,,Crawling into a vagina.
background/reject/front-white-face7.png,icon/icon-reject.png,,Dividing by zero.
background/reject/front-white-face14.png,icon/icon-reject.png,,Ejaculating a pound of tinsel.
background/reject/front-white-face3.png,icon/icon-reject.png,,Faking a jellyfish sting so someone will pee on you.
background/reject/front-white-face14-ladles.png,icon/icon-reject.png,,Ladles
background/reject/front-white-face5.png,icon/icon-reject.png,,My dick in your mouth.
background/reject/front-white-face7.png,icon/icon-reject.png,,Playing an ocarina to summon Ultra-Congress from the sea.
background/reject/front-white-face11.png,icon/icon-reject.png,,Super yoga.
background/reject/front-white-face16.png,icon/icon-reject.png,,The John D. and Catherine T. MacArthur Foundation.
background/reject/front-black-face5.png,icon/icon-reject.png,,You can't wait forever. It's time to talk to your doctor about ________.
background/reject/front-black-face11.png,icon/icon-reject.png,,The Westboro Baptist Church is now picketing soldiers' funerals with signs that read 'GOD HATES ________.'
background/reject/front-black-face14.png,icon/icon-reject.png,,What are two cards in your hand that you want to get rid of?
background/reject/front-black-face16.png,icon/icon-reject.png,,The elders of the Ibo tribe of Nigeria recommend ________ as a cure for impotence.
background/reject/front-black-face7.png,icon/icon-reject.png,,My name is Inigo Montoya. You killed my father. Prepare for ________.
background/reject/front-black-face6.png,icon/icon-reject.png,,From WBEZ Chicago, it's This American Life. Today on our program, ________. Stay with us.
background/reject/front-black-face3.png,icon/icon-reject.png,,What do you see?
background/reject/front-black-face15.png,icon/icon-reject.png,,Sir, we found you passed out naked on the side of the road. What's the last thing you remember?
