#Background,#Icon,#NumberText,#CardText
background/front-white.png,icon/icon-tabletop.png,,A disappointing season of Tabletop that’s just about tables.
background/front-white.png,icon/icon-tabletop.png,,A marriage-destroying game of The Resistance.
background/front-white.png,icon/icon-tabletop.png,,The pooping position.
background/front-white.png,icon/icon-tabletop.png,,An owlbear.
background/front-white.png,icon/icon-tabletop.png,,A Wesley Crusher blow-up doll.
background/front-white.png,icon/icon-tabletop.png,,Spending 8 years in the Himalayas becoming a master of dice-rolling and resource allocation.
background/front-white.png,icon/icon-tabletop.png,,Victory points.
background/front-white.png,icon/icon-tabletop.png,,Condensing centuries of economic exploitation into 90 minutes of gaming fun.
background/front-white.png,icon/icon-tabletop.png,,The porn set that Tabletop is filmed on.
background/front-white.png,icon/icon-tabletop.png,,SIX GOD DAMN HOURS OF FUCKING DIPLOMACY.
background/front-white.png,icon/icon-tabletop.png,,A zombie with a tragic backstory.
background/front-white.png,icon/icon-tabletop.png,,A German-style board game where you invade Poland.
background/front-black.png,icon/icon-tabletop.png,,Backers who supported Tabletop at the $25,000 level were astonished to receive ______ from Wil Wheaton himself.
background/front-black.png,icon/icon-tabletop.png,,For my turn, I will spend four gold and allocate all three workers to _______.
background/front-black.png,icon/icon-tabletop.png,,Hey, you guys want to try this awesome game? It’s called ________.
